returns,buy_level,sell_level,max_prop_per_stock,scaler,sharpe_scaled_exp,w_rsi,w_fair,w_geom
0.9903678,5.18734,5.1734,0.155,0.6332,3.2612,3.029,1.903,1
0.9728588,5.7028,5.7028,0.1761,0.6238,3.4912,116.38,1,32.356
0.9902401,5.0878,5.0878,0.1679,0.6009,2.8326,3.048,2.303,1
1.002351,5.1734,5.1734,0.155,0.6332,3.2612,3.029,1.903,1
1.007852,4.9402,5.2208,0.1617,0.6668,3.0342,2.677,1,1.213
1.013211,4.506,5.6132,0.1393,0.604,3.0511,1.807,1.154,1
1.011318,4.506,5.6132,0.1393,0.604,3.0511,1.807,1.154,1
1.025917,4.1661,4.7282,0.1397,0.5456,3.6118,3.522,1,1.627
1.030396,4.7412,6.8909,0.1469,0.6557,3.002,1.723,1.228,1
0.9934081,4.506,5.6132,0.1393,0.604,3.0511,1.807,1.154,1
1.012164,4.4575,6.7065,0.1441,0.6904,2.8938,4.128,2.61,1
0.9956236,4.7412,6.8909,0.1469,0.6557,3.002,1.723,1.228,1