,sharpe_0,sharpe_1,sharpe_2,sharpe_3
amrk,-1.319899942448023,1.7599692853022098,0.5478621877118791,2.2978161444896457
ascb,0.4460739104862219,-0.9372353840915189,0.6696661742369243,0.0423488118199772
amax,-1.3863626943934757,1.717022340692503,0.570446674788213,1.943538911312202
az,-0.0406189665720619,0.7105388812707176,1.4585248035534488,0.5075677557206174
abgi,-1.0223435180829992,1.0291651033659233,-1.0674324284771488,1.0064404972070324
abmd,-1.9668212620323589,1.5562465774773566,1.1981087799656147,1.6374563733633691
aspa,0.1649560933776285,1.2180841939416969,-0.1785854304633732,2.1532833993653155
abvc,0.0928854957282558,0.4435693772464356,0.8829884700272348,1.2603883518122592
aciw,-0.3427913870207972,1.107412599113668,-0.2288597044611286,0.606928053103013
acnb,-0.4121660901590936,0.813525588845299,1.1594321048967593,0.4558381498338013
aey,0.3467584480801322,0.9277309230995632,5.438645644682275,2.6319736378186263
adtn,-0.8073947543779533,0.1409214749519814,2.689198247696804,0.7824857153013676
adtx,-0.6486816178090157,0.536048509310611,0.3122026055930709,0.9844602830710332
agba,-0.0036993312543384,0.6522454571159908,1.0375773170405256,0.753648730301928
alit,-0.8470456098443127,0.8276809688458413,1.8270880753020968,0.3583065912221741
aljj,1.4240819283628825,1.956342129187013,1.41366366865761,-0.8092022392990523
alor,-0.9648272851245124,0.8745317144846475,2.466702855907949,1.2153668191414233
alxo,-1.6670163733054018,0.4431165733131408,1.7964484422210398,1.456001167718323
amcx,-2.185897825850508,2.070245426469429,1.6839826341574513,2.998083271085534
amsf,-0.7712080148708044,1.0785332951856206,0.9304305735492538,0.6065916662666349
antx,-0.0152183305667706,0.0866733398699793,0.9631779614571732,0.338240906088611
aryd,-0.7362072654983941,0.7628015279652451,-1.0661929570310993,0.9342110826011892
asts,0.1236571432217177,0.8721973157716221,0.4758614749946345,0.2900967418620895
atai,-1.0783891501900602,1.0139857562428125,1.2701165079882557,1.5355263779023265
atif,-0.9524823377653542,-0.0786262445455268,0.5489429840932727,0.7396883157036368
aveo,0.6560433110084548,2.3863719185447003,0.8910778859823615,0.0111740636167265
avro,-0.0638216276118041,1.350671925008389,-0.3954125183660147,-0.1959227689503187
ayro,-1.6558402120174878,0.2600922511422004,0.6078151080685462,0.5350823440238259
absi,0.4800554433081186,0.9178497183246612,0.893135999468487,0.3213153286934728
aber,-1.4354443375100354,0.1213017451346052,1.823667941977896,1.5653202025041522
actg,-1.3140306950346552,0.5760245633782585,-0.4444312141342523,0.6165076519514243
aso,-0.424960646363124,1.647182574298324,1.0933336765394974,0.995903991855201
acad,-1.5248940957571329,0.1616405632051273,0.770922867544593,-0.6227926642242886
axdx,-1.5140604394092876,0.4530237194734737,-0.404983716375004,0.1380072947907636
accl,-0.2867155865996217,1.3156832004399817,0.8950565541922401,0.0040699216897281
ancx,-0.8255316778068378,1.0090866075163598,-0.1012792303435612,0.4961641676399341
ausa,-1.1595003793118293,0.5260686616992308,-0.6886494053437425,0.4219813528134962
accd,-0.6659033207865392,-0.3037430659632179,0.2189431073871505,0.2925809797503642
acba,-1.3352362194845309,0.7556704232364622,0.6042317076917365,0.8002354927153703
avhi,-1.8914552040076105,2.3687669401501585,0.6082547352771304,1.9679774573130813
acon,-1.302760902723836,-0.4958335715598811,-3.1355043765853376,1.097378145019026
acrs,-0.1733598630819754,-0.5292056836311656,0.780707879318315,0.5413755057817989
apkt,-1.1338884420093354,0.9394265029214368,2.0605089229044693,0.986136021307907
acor,-1.073207763644664,0.6649967001852681,0.329964541088848,1.4823717349121752
acac,-0.8543970729659612,0.875604695548358,-1.8488798458249869,0.0313847097398141
asns,0.1351221120730549,0.5594719223853226,-0.0856190585423472,-0.5160225318595499
atvi,-1.894298356112957,1.725906505975532,1.0997806545827546,0.1621942369084963
abos,-0.067104698440904,0.3852413641430489,0.4894215596810026,0.2556379784815717
afib,-1.9699166800473935,2.5874310490454198,2.3640518228990524,3.2209995392908035
adgi,-1.6839927705290645,0.8377723089331744,0.9154251967560136,1.0707228734673553
adpt,0.4068703060757151,0.6667573763555904,-0.6808802043183364,-0.2687865695770451
adct,-0.7990961224892957,1.4662936745368769,-0.5979897793053671,0.4851064148814638
adus,-1.060322569534475,1.0339039349008454,-0.3751236393961724,0.2655682351513375
adex,0.2187275892469023,0.0698821484032939,2.5564077807640286,-0.5749846960949759
adil,-0.65227526223648,1.616380867391213,-1.2917618870461705,-0.3203730414938881
adma,-0.9983646894265408,0.8275666187170292,1.7151162896769787,2.093979704475857
ades,-1.1793308547649204,-0.7119860766904016,-0.3509055354337144,1.4462956289831654
aeis,-2.0781371856655566,0.5854781121962943,0.2420020907245863,0.2732258474232523
adv,-0.5955691411702467,0.7370054007838087,1.3655430700203792,1.3745402408109106
adxs,-1.2491801460103968,1.3632900435006023,1.6498162605742774,1.7591595980799095
adn,0.2700085319646049,0.598584055973122,-0.1826661198178126,0.3065012267056027
agle,-0.7198638129607957,0.4911025440356604,0.6586270226492656,1.1335836685612464
aehr,-1.2154501766333503,0.5008904786241766,-0.6386230023321464,0.3129977250355031
amtx,-0.3874509130373439,1.5982173627066885,0.3122831979582379,0.726250796346781
asle,-0.9179333691660098,0.5276352104571499,1.7073118969781074,0.5586276128343635
aerc,-0.7390582392999969,0.1321994441648569,-0.0175433329226319,0.4390355534592985
avav,0.5868392118130934,0.6646991823773325,0.9331133884778712,0.5362983682825455
avte,-2.1283434309319547,1.89554159805618,0.4609181645163903,2.300366943461966
aeha,-0.0223674247786632,1.0949858241785495,2.296662836626739,0.4293950861355287
gmfi,0.2455126755064337,0.6947954723293136,3.540329671169979,0.6260618034099332
aemd,-0.1261730166721946,2.6022017064494007,-1.586018833044309,-0.0309896763296098
afmd,-1.2021829785560805,1.529634228868843,1.9925916723305743,0.9633376625849438
agen,-0.07802397253452824,0.34245864947156673,-0.2043649410397158,-0.5051036188186435
aggr,-0.9642083809853489,1.1622338709106466,1.1347969110565743,0.33331233354461276
agrx,-0.47043120780270375,-0.0193815475051614,1.0222458183575804,0.1377227439106934
agri,-1.6230645259110748,0.9989606721486729,0.5123868059377957,1.1635290946920795
agfy,-1.3845945011124656,0.9902353351516685,-0.2857934967478451,0.4621827528933658
agfs,-0.7923374770737492,1.835823552796435,1.4628947227115858,1.0036517466363102
aimd,-0.8834397187857352,2.026792449402734,-2.740633121303889,0.8246534327657827
airs,-0.7911957844597315,0.6774525423551928,0.2861754148341162,1.2628304922568139
abnb,-2.080053154730146,1.4203750948130371,2.133060095274493,1.25686436473418
airn,-1.6631839116370342,0.7624649573816069,0.27329039824681306,0.8082997478822278
akan,-0.041775946797510434,0.4662343643312995,-2.3581065737841866,1.3537789511502667
akba,-0.4671836830810788,0.2903214177554616,-0.07421115516551337,1.0253634666959823
akus,-0.5710921797631836,0.034498750116557515,-1.0572910233882031,0.8263642580837196
akts,-0.8256207180327447,-0.19388092829526576,1.2302811740832948,1.0173436871946215
akya,-0.36376939585715024,1.5813954437573476,-0.9793391767156036,0.6327623271341183
aku,-0.6883080125031128,0.07011606730006908,-1.3690286909013212,1.7886899085467236
apcs,-1.8454804684031778,1.918945362716923,0.7229084107748457,2.617761103833498
alrm,-1.2225166588157228,0.30452017159158273,1.835750537374045,-0.26976548167979286
tcrt,-0.5915561637880467,1.880415228170932,0.17159008262734493,1.233666544327846
albo,-1.1273783093267535,1.6158247427309407,0.29944110750982417,-0.25936282729688576
aldx,-0.43032964037514854,1.3364437088118186,1.2657085521515246,0.8247611692012677
alrs,-1.1618042743996064,1.063551229309111,0.5505706660259178,1.79293629523726
astl,-1.471998313258377,-0.2244078393972899,-1.0769155326695274,0.7161867642470311
algn,-0.4982440149645023,0.974040906356754,1.2245277323681627,0.47604332793027093
