,sharpe,sharpe_0,sharpe_1,sharpe_2,sharpe_3
ABMD,0.7791618385897348,-1.3863626943934757,1.717022340692503,0.5972304214588505,1.943538911312202
ABTX,0.4495823756807332,-0.8033108877532155,1.2239064000243989,0.7843440330032895,1.6384716229472305
ABVC,0.3205512201360876,-0.0406189665720619,0.7105388812707176,1.4607860105565489,0.5075677557206174
ACAD,0.6233592328661367,-1.4354443375100354,0.1213017451346052,1.823667941977896,1.5653202025041522
ACIW,0.3174679305925094,-1.9668212620323589,1.5562465774773566,1.287088279908268,1.6374563733633691
ACNB,0.5160280243513319,0.0928843128831153,0.4435695215348997,0.8843541409771148,1.2603888170130082
ACOR,-0.3729126141752691,-1.5140604394092876,0.4530237194734737,-0.404983716375004,0.1380072947907636
ACRS,0.4454657298779434,-0.2867155865996217,1.3156832004399817,0.8950565541922401,0.0040699216897281
ACTG,-0.0837442443328803,-0.6659037781148266,-0.3037424765695247,0.2189438761908093,0.292580873417122
ADES,0.1874702764968241,-1.6839934068583051,0.8377728455996281,0.915424136762664,1.0707233863365049
ADIL,0.2299883161023143,0.4068703060757151,0.6667573763555904,-0.6808802043183364,-0.2687865695770451
ADMA,0.1484508343475723,-0.7990961224892957,1.4662936745368769,-0.5979897793053671,0.4851064148814638
ADN,0.1445704868817455,0.2187275892469023,0.0698821484032939,2.5564077807640286,-0.5749846960949759
ADPT,-0.2063849043862679,-0.65227526223648,1.616380867391213,-1.2917618870461705,-0.3203730414938881
ADTN,0.2948463933634634,-0.3427919440066592,1.1074102994648802,-0.1916631215909133,0.606929892477689
ADUS,0.8722320689708195,-0.9983646894265408,0.8275666187170292,1.7151162896769787,2.093979704475857
ADXS,-0.179497944031581,-2.0781371856655566,0.5854781121962943,0.2420020907245863,0.2732258474232523
AEHR,0.7201507827308948,-0.5955691411702467,0.7370054007838087,1.3655430700203792,1.3745402408109106
AEIS,0.681258039315869,-1.2491803182940535,1.363289539841401,1.6498154972957784,1.759159485913164
AEMD,0.2838006922499047,0.2700085319646049,0.598584055973122,-0.1826661198178126,0.3065012267056027
AEY,0.2728809824188163,-0.4121660901590936,0.813525588845299,1.2002542424648637,0.4558381498338013
AFMD,0.3152310731854672,-0.9179333691660098,0.5276352104571499,1.7073118969781074,0.5586276128343635
AGBA,0.7943956375136229,0.3467584480801322,0.9277309230995632,5.438645644682275,2.6319736378186263
AGEN,0.245355417441609,-0.9642083809853488,1.1622338709106466,1.1347969110565743,0.3333123335446127
AGFS,-0.0134766807293541,-0.4704312078027037,-0.0193815475051614,1.0222458183575804,0.1377227439106934
AGLE,-0.1328267729237772,-0.7390582392999969,0.1321994441648569,-0.0175433329226319,0.4390355534592985
AGRX,-0.0072084293503448,-1.3845945011124656,0.9902353351516684,-0.2857934967478451,0.4621827528933658
AHPI,0.3926966835025727,0.6931187556006404,0.073508209019036,-0.1856548502370686,0.4301636864420858
AIKI,0.0407205124724698,0.6183114615937967,-0.0173009447690752,-2.124833828168214,-0.0222339435385603
AKBA,-0.1369253363782351,-1.6631839116370342,0.7624649573816069,0.273290398246813,0.8082997478822278
AKTS,0.331649482117637,-0.4671836830810788,0.2903214177554616,-0.0742111551655133,1.0253634666959823
ALBO,0.1216335161465791,-0.5710921797631836,0.0344987501165575,-1.0572910233882031,0.8263642580837196
ALDX,0.419766681533159,-0.3637693958571502,1.5813954437573476,-0.9793391767156036,0.6327623271341183
ALGN,0.6775534401444188,-1.8454804684031776,1.918945362716923,0.7229084107748457,2.617761103833498
ALJJ,0.5089243100580743,-0.0036993312543384,0.6522454571159908,1.0391792056043454,0.753648730301928
ALLK,0.1523646731667228,0.0120461406082167,0.9735912240975084,-1.2517348169118532,0.5063052582221221
ALLO,0.152758097460708,0.3932536580796398,-0.5771985246889058,-0.7271989738066036,0.7578850842576167
ALLT,-0.1510480520306625,-1.6556413029234198,0.8366964872017318,-0.140372672411662,0.3870051121791781
ALNA,-0.2205590277860211,-0.432512167684327,0.8648512144632393,-1.1172040438729178,-0.3040816546367438
ALNY,0.7058114384337832,-1.403862690579523,1.401575852926715,0.5268241283046577,1.7803213999585974
ALPN,0.0810908114446927,-0.0652071259809804,0.276547063433029,-1.0712094025513013,0.364727483929868
ALRM,0.678712517954085,-0.5915561637880467,1.880415228170932,0.1715900826273449,1.233666544327846
ALRS,0.5749857939450166,-0.430331298276163,1.336441901477514,1.2657080412568376,0.8247636777063533
ALTR,0.731762334392457,-1.0420535819905097,2.293716287577908,1.0752582960956558,2.526579106089085
AMCX,0.1190067629212371,-0.8470456098443127,0.8276809688458413,1.820602311899884,0.3583065912221741
AMOT,0.6874091039824707,-1.2977853309717498,1.0929486578177716,0.9790595541517112,1.8143385108955143
AMRK,0.7259364800616334,1.42408198218557,1.956342155861432,1.4136653782131887,-0.8092031006828778
AMSF,0.5933436719964055,-0.9648289107061908,0.8745290248952413,2.5371415388138865,1.2153665335136936
AMTX,0.6597646402527383,-0.0223674247786632,1.0949858241785495,2.296662836626739,0.4293950861355287
AOSL,0.5423758577522129,-0.616704701648539,1.1625091572270922,-0.1423406559680259,1.4957888652772224
ASLE,0.6679580431893254,0.2455126755064337,0.6947954723293136,3.540329671169979,0.6260618034099332
ATEC,0.25216542932996,0.0027794549057175,-0.1180456499296914,0.1810596204907864,0.6568821922426606
ATIF,0.3732873595642648,-0.7362072654983941,0.7628015279652451,-1.0661929570310993,0.9342110826011892
ATVI,0.772090868161931,-1.891456485218691,2.3687675856124404,0.6082557191603292,1.9679771191031663
AVAV,0.5412335443708858,-1.2021829785560805,1.529634228868843,1.9925916723305743,0.9633376625849438
AVEO,0.1865313777000842,-0.9524823377653542,-0.0786262445455268,0.5482807556635645,0.7396883157036368
AVRO,-0.4914016147758517,-1.302760902723836,-0.4958335715598811,-3.1355043765853376,1.097378145019026
AXDX,0.3015945495191149,-1.1338884420093354,0.9394265029214368,2.0605089229044693,0.986136021307907
AYRO,-0.1803214106017729,-0.8543970729659612,0.875604695548358,-1.8488798458249869,0.0313847097398141
CYTO,-0.0625502724492026,-0.5371963281290906,0.65680676194358,-0.0430577770901525,-0.7438017617457735
LNT,0.7773078536810414,-0.2712441220564827,2.0287982963647253,1.03815934299297,1.2288986684422567
MDRX,0.3185586971329257,-1.209054356070684,1.7109770940095923,1.855923100240752,0.6341794285806138
TCRT,0.3591555323949388,-0.4982440149645023,0.974040906356754,1.2245277323681627,0.4760433279302709
AESE,-0.024983693302092245,-0.1542658505218381,0.1144898346002133,1.72707663166487,-0.3763322801503787
ALGT,0.34320174066683695,-1.142299272447027,2.061563462826948,1.470813260862324,0.8402505441764292
ALKS,0.2983288410041843,-2.07045434305534,1.861401258832276,0.1529074396072798,1.4206464723571008
ALPP,1.1554111535989178,-0.25304323617092805,2.7176992551232346,0.9620759113952706,1.404003464186832
ALT,0.34599923894960793,0.7392481301683225,0.5880377543879575,-2.662819566615703,0.2925910718230608
ALYA,0.21460264858453698,-0.6467740075960933,0.4260949005388126,1.0406753911647646,0.5842779030232588
ASPS,0.07782789740448977,-1.0947014000467614,-0.46843567886051873,1.1303013013465593,0.9305605415754957
GOOG,0.8451082742605297,-2.077314899316527,2.6120205186668803,1.3299429107639504,2.902670613516954
WTER,0.07759889861701673,-0.04502120872822907,-0.49181192080790226,1.1481231759732835,0.07834430321053637
